Ref,x1,y1,x2,y2,Connectivity,Drawing Layer,Line Length
0,84.7810997452,64.2627865184,84.7810997452,221.964031193,15,1,157.70125
1,43.8779708296,158.435395007,85.6392735967,158.435395007,2,1,41.761303
2,43.8779708296,125.636514057,85.6392735967,125.636514057,2,1,41.761303
3,83.7324119877,127.572314487,106.4245819,127.572314487,1,1,22.692169
4,83.7324119877,100.303676713,106.4245819,100.303676713,2,1,22.692169
5,83.7324119877,156.938500031,106.4245819,156.938500031,1,1,22.692169
6,83.7324119877,165.328863365,123.205308569,165.328863365,2,1,39.472897
7,83.7324119877,118.990920482,123.205308569,118.990920482,2,1,39.472897
8,83.7324119877,112.12587418,128.563813622,112.12587418,2,1,44.831402
9,5.16764663694,113.985537949,85.8299597576,113.985537949,3,1,80.662315
10,5.16764663694,170.391779031,85.8299597576,170.391779031,3,1,80.662315
11,67.1421992245,164.566118722,67.1421992245,173.528712794,1,1,8.962594
12,66.7608269027,110.21935708,66.7608269027,120.135381957,1,1,9.9160252
13,68.6676885117,137.869367176,85.8299597576,137.869367176,1,1,17.162271
14,68.4770023508,146.831788993,85.6392735967,146.831788993,1,1,17.162271
15,64.09122065,191.072184107,85.8299597576,191.072184107,2,1,21.738739
16,22.6849352069,212.951483203,72.8629563065,188.593264015,1,1,55.777744
17,99.5597078524,212.620237054,175.836067017,202.32301211,1,1,76.968277
18,83.3510396659,210.522689284,116.721979098,210.522689284,2,1,33.370941
19,176.789325567,71.8905774643,201.960587826,111.553987952,1,1,46.97636
20,151.484738025,72.0810913703,175.836067017,122.995502116,2,1,56.438148
21,125.303028594,115.177197264,152.895850067,72.0810913703,2,1,51.17263
22,160.848169221,98.9683568223,201.465527278,72.2719497861,2,1,48.605225
23,99.7503940134,106.405289352,124.158911629,72.0810913703,1,1,42.118004
24,22.5206040438,96.6801228915,72.4815839846,71.8905774643,1,1,55.772942
25,66.7608269027,73.2252083357,87.5461352058,73.2252083357,2,1,20.785309
26,29.4623037712,131.767410027,65.884394033,160.752395504,2,1,46.547802
27,29.2716176103,152.743404491,64.16804633,123.949105175,2,1,45.242374
28,111.459247763,167.998641873,176.294265019,124.902363725,2,1,77.851578
29,107.645524545,116.512172645,176.866495757,159.608278538,2,1,81.540283
30,51.1742721047,184.420682621,51.2515153021,169.995127881,2,-1,14.425761
31,28.4037810736,183.423434839,51.9222079415,183.340330857,1,-1,23.518574
32,50.0939203404,115.028857764,50.1903176972,99.4972210354,2,-1,15.531936
33,25.8296780514,100.522605102,50.9249601591,100.568764919,1,-1,25.095325
