Ref,x1,y1,x2,y2,Connectivity,Drawing Layer,Line Length
0,101.266753792,93.0665598531,114.757756612,93.0665598531,1,1,13.491003
1,101.108968314,102.02898167,114.599971134,102.02898167,1,1,13.491003
2,113.594519354,42.5800302493,113.594519354,151.588435468,10,1,109.00841
3,112.536185322,150.353712431,228.070983733,150.353712431,12,1,115.5348
4,122.590358619,149.64815641,122.590358619,158.820384681,2,1,9.1722279
5,135.466755999,149.64815641,135.466755999,159.525940702,2,1,9.8777847
6,148.34315338,149.64815641,148.34315338,159.173162692,2,1,9.5250063
7,161.395939765,149.64815641,161.395939765,159.702329707,2,1,10.054173
8,174.272337145,149.64815641,174.272337145,159.349551697,2,1,9.701395
9,187.148734525,149.64815641,187.148734525,158.996773686,2,1,9.3486176
10,200.201520911,149.64815641,200.201520911,159.702329707,2,1,10.054173
11,213.077918291,149.64815641,213.077918291,159.702329707,2,1,10.054173
12,219.957089494,123.189805629,219.957089494,151.412046462,2,1,28.22224
13,201.965410963,133.067589921,201.965410963,151.412046462,2,1,18.344456
14,68.4389340206,146.120376306,114.47646438,146.120376306,3,1,46.037529
15,100.012565953,144.88565327,100.012565953,154.234270546,2,1,9.3486176
16,93.1333947496,114.017577358,114.652853385,114.017577358,2,1,21.519459
17,92.7806167392,81.385611395,114.652853385,81.385611395,2,1,21.872236
18,88.5472806142,127.95230877,114.652853385,127.95230877,2,1,26.105574
19,88.5472806142,67.6272689888,114.652853385,67.6272689888,2,1,26.105574
20,101.070899984,66.921712968,101.070899984,75.0356072075,2,1,8.1138945
21,102.129234015,120.896748561,102.129234015,129.010642801,2,1,8.1138945
22,75.4944942289,43.8147532858,219.780700489,43.8147532858,15,1,144.28621
23,216.958476405,42.4036412441,216.958476405,70.0967150617,4,1,27.693073
24,215.900142374,45.2258653274,226.836260697,45.2258653274,2,1,10.936118
25,215.900142374,50.3411464784,226.836260697,50.3411464784,2,1,10.936118
26,215.900142374,67.2744909784,226.836260697,67.2744909784,2,1,10.936118
27,218.898755463,33.9369689941,218.898755463,44.5203093066,2,1,10.583341
28,207.257081119,36.406415067,207.257081119,44.5203093066,2,1,8.1138945
29,194.380683739,36.7591930775,194.380683739,44.5203093066,2,1,7.761116
30,181.327897353,36.7591930775,181.327897353,44.5203093066,2,1,7.761116
31,168.451499973,36.406415067,168.451499973,44.5203093066,2,1,8.1138945
32,155.398713588,36.406415067,155.398713588,44.5203093066,2,1,8.1138945
33,142.698705213,36.406415067,142.698705213,44.5203093066,2,1,8.1138945
34,129.645918828,36.406415067,129.645918828,44.5203093066,2,1,8.1138945
35,116.769521447,37.4647490983,116.769521447,44.5203093066,2,1,7.0555601
36,103.540346057,30.40918889,103.540346057,44.5203093066,2,1,14.11112
37,90.6639486767,35.7008590462,90.6639486767,44.5203093066,2,1,8.8194504
38,78.8458853278,33.5841909837,78.8458853278,44.5203093066,2,1,10.936118
39,77.0819952757,42.4036412441,77.0819952757,52.2814255357,2,1,9.8777847
40,112.183407312,97.6133998741,196.850129812,97.6133998741,9,1,84.666725
41,190.676514629,54.9272606138,190.676514629,98.8481229105,2,1,43.920864
42,151.518155473,64.2758778898,151.518155473,99.3772899262,2,1,35.101414
43,177.094561228,68.1564360044,177.094561228,99.3772899262,2,1,31.220854
44,126.294527729,67.2744909784,126.294527729,97.4370108689,1,1,30.162519
45,152.929267515,96.2022878324,152.929267515,127.070363744,2,1,30.868076
46,178.682062275,96.2022878324,178.682062275,127.070363744,2,1,30.868076
47,120.297301552,154.939826567,131.938975895,167.816223947,1,1,17.358866
48,133.173698932,154.763437561,145.168151286,168.169001957,1,1,17.98822
49,146.050096312,154.763437561,157.691770656,167.816223947,1,1,17.490107
50,158.926493692,154.939826567,170.568168036,167.992612952,1,1,17.490107
51,171.979280077,154.763437561,183.620954421,167.992612952,1,1,17.622135
52,185.032066463,154.939826567,196.497351801,167.992612952,1,1,17.373198
53,197.908463843,154.763437561,209.550138187,167.992612952,1,1,17.622135
54,210.784861223,154.939826567,222.602924572,167.992612952,1,1,17.608006
55,224.014036614,145.414820285,235.126543942,168.169001957,1,1,25.322729
56,184.855677458,144.532875259,235.126543942,116.839801442,2,1,57.393959
57,94.3681177861,149.118989395,119.415356526,167.992612952,1,1,31.362045
58,56.091703656,131.656477879,92.604227734,168.169001957,1,1,51.636505
59,132.820920921,147.178710337,157.338992645,117.721746468,1,1,38.325562
60,159.102882697,147.002321332,183.268176411,117.721746468,1,1,37.964634
61,120.297301552,77.5050532804,143.051483223,48.5772564264,2,1,36.804485
62,138.465369088,48.5772564264,158.044548666,76.0939412388,2,1,33.771469
63,159.102882697,48.5772564264,183.620954421,77.3286642752,1,1,37.785969
