Ref,x1,y1,x2,y2,Connectivity,Drawing Layer,Line Length
0,51.6132488256,138.486728694,65.1042516457,138.486728694,1,1,13.491003
1,51.8082413587,147.449150511,65.2992441788,147.449150511,1,1,13.491003
2,63.8528198852,101.600067,63.8528198852,184.620377281,13,1,83.020309
3,32.3379268698,180.622341333,64.9111539164,180.622341333,4,1,32.573227
4,62.5593579319,178.975929114,84.6667224997,178.975929114,2,1,22.107365
5,60.6778177914,179.446357213,60.6778177914,194.145555817,2,1,14.699199
6,50.5647333229,179.446357213,50.5647333229,195.08623976,2,1,15.639882
7,35.0426731195,173.331480947,65.3815820153,173.331480947,2,1,30.338909
8,51.0351614218,165.100108874,51.0351614218,174.742592989,2,1,9.6424837
9,62.0889298331,168.392588802,173.566781124,168.392588802,5,1,111.47785
10,163.688996833,93.3683504167,163.688996833,191.205681645,12,1,97.837334
11,161.57232877,95.0147626353,174.860415332,95.0147626353,3,1,13.288087
12,162.277884791,86.5480903853,162.277884791,96.1905745,2,1,9.6424837
13,161.337028593,190.029697525,173.919559135,190.029697525,3,1,12.582531
14,162.042584614,188.853713406,162.042584614,199.319575885,2,1,10.465862
15,162.277884791,186.501917421,172.861225103,186.501917421,2,1,10.583341
16,162.042584614,100.188954958,173.684258958,100.188954958,2,1,11.641674
17,34.3371170987,112.418362979,65.1462818384,112.418362979,2,1,30.809164
18,51.2704615986,111.477851291,51.2704615986,121.94336926,2,1,10.465518
19,62.3240577551,116.416743437,165.100108874,116.416743437,5,1,102.77605
20,161.57232877,111.712806958,172.155669083,111.712806958,2,1,10.583341
21,161.57232877,125.588971708,172.508447093,125.588971708,2,1,10.936118
22,161.57232877,139.229491771,173.214003114,139.229491771,2,1,11.641674
23,161.57232877,151.929672401,172.508447093,151.929672401,2,1,10.936118
24,155.45728025,179.211229291,165.335064541,179.211229291,2,1,9.8777847
25,155.45728025,107.479815343,165.335064541,107.479815343,2,1,9.8777847
26,146.99095251,89.1350142917,146.99095251,118.062811146,2,1,28.927797
27,121.826235937,89.4877923022,121.826235937,118.062811146,2,1,28.575018
28,95.485362989,88.4294582709,95.485362989,118.062811146,2,1,29.633352
29,35.39545113,105.127847104,65.8518378592,105.127847104,3,1,30.456387
30,60.9129457134,84.4314223228,60.9129457134,106.773914813,2,1,22.342493
31,62.3240577551,107.71477101,85.3722785205,107.71477101,2,1,23.048222
32,62.0889298331,146.285051979,95.2500628121,148.754670307,1,1,33.252968
33,95.720490911,167.451904859,95.720490911,199.319575885,2,1,31.867672
34,121.59059125,167.451904859,121.59059125,195.556667858,2,1,28.104763
35,147.461208354,167.451904859,147.461208354,197.320557911,2,1,29.868652
36,44.4500293123,126.764783573,64.4407258176,126.764783573,2,1,19.990696
37,44.4500293123,159.455660708,64.4407258176,159.455660708,2,1,19.990696
38,6.82043228632,195.08623976,43.5093453695,176.741783218,2,1,41.019451
39,44.4500293123,188.971363494,56.2093537445,197.202907822,1,1,14.354095
40,6.58513210946,192.264015676,49.859349557,213.665824223,2,1,48.277275
41,43.7444732915,213.665824223,56.4444816664,198.143591765,1,1,20.05567
42,57.6204657861,188.971363494,81.8444984163,213.665824223,1,1,34.592197
43,82.5500544372,177.447339239,107.71477101,213.9011244,2,1,44.296066
44,109.125883052,176.97691114,137.113168218,212.960268202,2,1,45.586075
45,160.631472572,194.851111838,172.861225103,213.9011244,1,1,22.637796
46,171.450113062,188.265807473,184.855677458,213.665824223,1,1,28.720551
47,168.157633135,188.030679551,185.325933302,177.682467161,1,1,20.045849
48,134.055643958,213.195568379,160.161216729,177.447339239,3,1,44.265526
49,168.392588802,150.636210447,184.855677458,162.395534879,1,1,20.231535
50,168.627888979,137.230646052,185.325933302,148.989970484,1,1,20.423183
51,168.627888979,124.2953375,185.325933302,135.81953401,1,1,20.288712
52,168.392588802,110.654817437,185.796533655,122.884225458,1,1,21.271006
53,168.392588802,98.4250649059,185.325933302,109.008405218,1,1,19.968607
54,171.450113062,97.2492530411,184.620377281,73.025048156,1,1,27.572958
55,160.631472572,91.8397605415,172.625924927,73.025048156,1,1,22.312782
56,131.938975895,73.025048156,160.161216729,109.008405218,3,1,45.730698
57,109.361183229,109.243705395,136.407612197,73.2603483328,2,1,45.014568
58,82.5500544372,109.243705395,107.479815343,72.7897479791,2,1,44.163151
59,44.6851572343,97.719508885,81.6093704944,72.554792312,1,1,44.684006
60,6.35000418747,73.025048156,43.2740451926,109.713961239,1,1,52.052486
61,12.7000083749,144.756462104,52.6815736403,124.530637677,2,1,44.806355
62,12.464880453,142.875094218,52.2111455415,161.454678682,2,1,43.874439
63,26.4408133337,167.216599236,52.5383986706,167.320573679,2,-1,26.097792
64,27.7924811001,120.532074071,52.9542964449,120.532074071,2,-1,25.161816
65,11.5724679027,173.143142519,31.5355610688,165.864931469,1,-1,21.248468
66,12.6122123384,113.253863021,30.7037655202,121.36386962,1,-1,19.826157
