Ref	x1	y1	x2	y2	Connectivity	Drawing Layer	Line Length
0	132.575802216	159.829798324	155.630051902	159.829798324	1	1	23.054249
1	132.909115424	173.907501293	155.963192856	173.907501293	1	1	23.054077
2	148.377948867	104.315493052	148.377948867	233.601915929	11	1	129.28642
3	106.575993946	214.023597625	150.494616929	214.023597625	2	1	43.918625
4	131.974632657	201.32427827	131.974632657	216.140265688	2	1	14.815988
5	104.988492899	120.895026013	149.965449914	120.895026013	2	1	44.976955
6	131.445637896	119.836691981	131.445637896	133.065178352	2	1	13.228486
7	308.17846386	94.2613197556	308.17846386	217.551205475	7	1	123.28989
8	145.732286044	209.79060601	310.824298938	209.79060601	7	1	165.09201
9	144.144957252	126.715518675	309.765964907	126.715518675	6	1	165.621
10	111.337635812	226.19392222	150.494616929	226.19392222	2	1	39.156982
11	161.077440477	207.673937948	161.077440477	261.118256232	2	1	53.444317
12	199.704737814	207.673937948	199.704737814	253.004878757	2	1	45.33094
13	240.448530958	207.673937948	240.448530958	242.421538444	2	1	34.747601
14	280.663157087	207.673937948	280.663157087	267.115999173	2	1	59.442062
15	303.945472245	207.673937948	303.945472245	263.762885526	4	1	56.088947
16	301.828804183	246.301235284	323.700351809	246.301235284	2	1	21.871548
17	301.828804183	237.835079799	323.700351809	237.835079799	2	1	21.871548
18	302.710404699	96.0252098077	321.901666269	96.0252098077	3	1	19.191261
19	306.238184803	115.426966851	321.196110248	115.426966851	2	1	14.957926
20	306.238184803	136.416569451	321.196110248	136.416569451	2	1	14.957926
21	306.238184803	157.582044292	324.723890353	157.582044292	2	1	18.485706
22	306.238184803	177.160190341	321.196110248	177.160190341	2	1	14.957926
23	280.663157087	80.3262438344	280.663157087	128.832186737	2	1	48.505943
24	240.977697974	81.7377003858	240.977697974	126.715863184	2	1	44.978165
25	201.292066606	81.7377003858	201.292066606	126.715863184	2	1	44.978165
26	160.019106446	72.3894276196	160.019106446	126.715863184	2	1	54.326435
27	124.390077688	109.253696179	149.965449914	109.253696179	2	1	25.575373
28	122.803265661	141.531506093	151.023783945	141.531506093	2	1	28.220518
29	122.803265661	192.85795053	151.023783945	192.85795053	2	1	28.220518
30	144.674124267	175.396472544	181.713920557	175.396472544	1	1	37.039795
31	62.0889298331	276.677178981	125.588971708	219.527141294	1	1	85.430573
32	141.463982177	238.929931867	179.916785312	276.324400971	1	1	53.637341
33	181.327897353	226.229923492	219.780700489	275.97162296	1	1	62.871731
34	221.19181253	225.877145481	299.861308853	275.61884495	2	1	93.07592
35	301.272420895	251.982718252	320.322433457	275.61884495	1	1	30.357363
36	318.205765395	244.221602023	338.666889999	275.97162296	1	1	37.771965
37	313.266873249	242.457711971	339.72522403	225.17158946	1	1	31.604658
38	312.914095238	173.313221929	339.72522403	191.657678471	1	1	32.48624
39	313.266873249	153.204875336	340.07800204	171.549331877	1	1	32.48624
40	313.266873249	132.038194711	339.72522403	151.793763294	1	1	33.020096
41	312.914095238	111.929848117	339.72522403	130.274304659	1	1	32.48624
42	313.619651259	92.8798355546	339.72522403	109.813180055	1	1	31.116541
43	317.500209374	91.1159455026	338.666889999	59.0131465548	1	1	38.452805
44	301.272420895	82.6492732526	319.969655447	58.3075905339	1	1	30.693714
45	304.447422988	75.5937130443	304.447422988	102.052063825	3	1	26.458351
46	302.683532936	87.5881653984	322.43910152	87.5881653984	2	1	19.755569
47	261.408505718	59.0131465548	299.861308853	110.165958065	1	1	63.993969
48	221.19181253	59.3659245652	259.644615666	109.460402044	1	1	63.151207
49	181.680675364	59.3659245652	219.075144468	109.813180055	1	1	62.795475
50	138.288980083	96.0548376484	179.211229291	59.0131465548	1	1	55.197079
51	61.7361518227	59.0131465548	136.877868041	115.104850211	1	1	93.768631
52	71.9667141247	170.490997846	135.466755999	137.682642877	2	1	71.474777
53	71.9667141247	166.963217742	132.644531916	195.538236585	2	1	67.069588
54	100.392346943	203.352753856	134.481772659	203.352753856	2	-1	34.089424
55	100.070748588	131.636320511	134.160174303	131.314722155	2	-1	34.090942
56	82.0612406622	212.035909463	107.467510771	201.423163722	1	-1	27.533777
57	81.7396423064	120.701976413	105.537920636	133.887509002	1	-1	27.206917
