Ref,x1,y1,x2,y2,Connectivity,Drawing Layer,Line Length
0,132.575802216,159.829798324,155.630051902,159.829798324,1,1,23.054249
1,132.909115424,173.907501293,155.963192856,173.907501293,1,1,23.054077
2,150.283432437,116.163184242,150.283432437,234.931723664,10,1,118.76854
3,111.242723369,118.044552128,152.635400676,118.044552128,2,1,41.392677
4,135.231628077,116.398139909,135.231628077,131.6854167,2,1,15.287277
5,111.007595447,213.059487018,151.459416557,213.059487018,2,1,40.45182
6,135.466755999,199.653922622,135.466755999,214.705726981,2,1,15.051805
7,134.526072057,231.521593648,152.635400676,231.521593648,1,1,18.109329
8,74.5538102861,242.222584049,100.189127213,242.222584049,1,1,25.635317
9,97.1316029526,226.70035159,97.1316029526,252.10036834,3,1,25.400017
10,95.250235067,233.520783877,151.929844655,233.520783877,2,1,56.679611
11,87.7242467599,231.639243736,98.3075870723,231.639243736,1,1,10.583341
12,127.588161937,191.187422627,152.164972577,191.187422627,2,1,24.576811
13,149.107620572,171.902282143,186.031661577,171.902282143,1,1,36.924042
14,148.637192473,229.757875851,193.322521962,229.757875851,2,1,44.685329
15,160.396516905,228.111463632,160.396516905,241.046772184,1,1,12.935308
16,148.402236806,130.039348992,206.022358083,130.039348992,3,1,57.620121
17,186.737389853,84.2956854711,186.737389853,131.33263869,2,1,47.036953
18,120.179823718,85.8242753463,188.383457562,85.8242753463,3,1,68.203636
19,305.035501176,193.186440601,344.311338165,97.46594969,1,1,103.46499
20,170.509429119,134.625118617,344.076037988,107.813989826,2,1,175.62518
21,157.103864723,74.8881570235,157.103864723,88.9992774401,2,1,14.11112
22,154.516768562,78.1806369508,166.981649015,78.1806369508,2,1,12.46488
23,162.74831289,80.2973050132,182.739009395,56.5437004819,1,1,31.046122
24,103.011179041,56.308400305,142.287188286,113.458437992,1,1,69.345016
25,83.255610458,136.271530836,134.761199979,196.008664684,1,1,78.875542
26,100.087595703,202.680521997,137.177083647,202.112204298,2,-1,37.093842
27,100.232934924,128.872049811,137.501155127,129.196121291,2,-1,37.26963
28,81.4367890821,211.186205739,108.334721925,200.815918378,1,-1,28.827793
29,83.7052894423,118.17769097,105.742150084,131.464621652,1,-1,25.732582
