Ref	x1	y1	x2	y2	Connectivity	Drawing Layer	Line Length
0	106.29384044	89.6269742516	122.045344154	89.6269742516	1	1	15.751504
1	106.521561402	97.7074510429	122.272720606	97.7074510429	1	1	15.75116
2	118.004244484	50.1647574732	118.004244484	147.531488348	12	1	97.36673
3	107.244515166	141.005095155	119.415356526	141.005095155	2	1	12.170841
4	93.1333947496	145.943987301	119.23896752	145.943987301	3	1	26.105574
5	103.187568046	145.062042275	103.187568046	156.174549603	2	1	11.112507
6	116.240354432	143.121763218	228.070983733	143.121763218	13	1	111.83063
7	122.237580609	141.534262171	122.237580609	155.116215572	2	1	13.581953
8	127.882028776	141.534262171	127.882028776	156.880105624	2	1	15.345843
9	147.108430343	141.534262171	147.108430343	163.230109811	2	1	21.695848
10	152.576489505	141.534262171	152.576489505	155.468993582	2	1	13.934731
11	171.626502067	141.534262171	171.626502067	155.468993582	2	1	13.934731
12	177.447339239	141.534262171	177.447339239	155.468993582	2	1	13.934731
13	196.497351801	141.534262171	196.497351801	155.468993582	2	1	13.934731
14	221.015423525	141.534262171	221.015423525	155.821771593	2	1	14.287509
15	226.659871692	141.534262171	226.659871692	156.174549603	2	1	14.640287
16	214.312641327	50.3411464784	214.312641327	144.709264265	5	1	94.368118
17	76.2000502497	51.3994805097	215.370975359	51.3994805097	13	1	139.17093
18	86.2542235465	43.8147532858	86.2542235465	52.8105925513	2	1	8.9958391
19	110.06673925	44.6966983118	110.06673925	52.6342035461	2	1	7.9375052
20	115.182020401	44.873087317	115.182020401	52.9869815566	2	1	8.1138945
21	153.458434531	50.5175354836	153.458434531	58.6314297232	2	1	8.1138945
22	126.823694744	50.5175354836	126.823694744	64.6286559003	2	1	14.11112
23	167.040387932	50.5175354836	167.040387932	64.6286559003	2	1	14.11112
24	159.455660708	42.0508632337	159.455660708	52.9869815566	2	1	10.936118
25	164.394552854	42.0508632337	164.394552854	52.9869815566	2	1	10.936118
26	209.550138187	42.4036412441	209.550138187	52.9869815566	2	1	10.583341
27	213.254307296	42.4036412441	213.254307296	52.9869815566	2	1	10.583341
28	213.254307296	55.4564276295	224.190425619	55.4564276295	2	1	10.936118
29	213.077918291	81.385611395	222.426535567	81.385611395	2	1	9.3486176
30	213.077918291	124.24813966	229.129317765	124.24813966	2	1	16.051399
31	191.205681645	122.131471598	191.205681645	144.356486254	2	1	22.225014
32	116.769521447	132.00925589	144.28620626	132.00925589	3	1	27.516685
33	131.057030869	117.545357463	131.057030869	133.420367931	2	1	15.87501
34	117.122299458	93.7328417595	132.115364901	93.7328417595	3	1	14.993066
35	126.823694744	92.6745077283	126.823694744	103.257848041	2	1	10.583341
36	128.234806786	81.5620004002	128.234806786	94.7911757908	2	1	13.229176
37	91.8986717132	65.1578229159	119.415356526	65.1578229159	2	1	27.516685
38	108.479238203	64.0994888846	108.479238203	72.7425501398	2	1	8.6430616
39	91.0167266871	122.660638614	119.062578515	122.660638614	2	1	28.045853
40	108.832016213	114.546744374	108.832016213	123.89536165	2	1	9.3486176
