Ref	x1	y1	x2	y2	Connectivity	Drawing Layer	Line Length
0	100.113679572	120.366375762	131.010349795	120.366375762	4	1	30.896669
1	113.334586728	118.634352864	113.334586728	132.287103024	4	1	13.65275
2	104.368719813	123.62681628	113.945919325	123.62681628	1	1	9.5771999
3	104.266744919	131.675770427	113.945919325	131.675770427	1	1	9.6791744
4	112.519476598	130.962462936	129.450237275	130.962462936	2	1	16.930761
5	104.16494228	78.4917292783	113.763845909	78.4917292783	1	1	9.5989037
6	112.927031663	77.5274464158	112.927031663	92.7554675256	4	1	15.228021
7	104.062967387	86.8460913414	113.843944431	86.8460913414	1	1	9.7809772
8	112.010118895	79.5104446853	131.206548112	79.5104446853	2	1	19.196428
9	99.7137037222	90.1065318595	131.661128761	90.1065318595	4	1	31.947426
10	106.406322882	89.29142173	106.406322882	121.69101585	2	1	32.399593
11	94.299043576	131.335567023	102.653577894	118.803679419	1	1	15.061422
12	94.4008462148	79.2720439205	102.14422019	91.6003262473	1	1	14.558378
13	94.1970686824	66.5365510386	136.988972444	83.5511998456	2	1	46.050465
14	94.6046237472	142.950541859	136.683392273	127.056411098	2	1	44.980507
15	115.898772989	107.494284754	136.683392273	81.8193492027	3	1	33.033356
16	115.796798095	104.743374194	136.581417379	129.297791699	3	1	32.17017
