Ref,x1,y1,x2,y2,Connectivity,Drawing Layer,Line Length
0,108.869223269,135.79593509,130.558008459,135.79593509,2,1,21.688786
1,103.844375934,131.226529679,126.105564117,131.226529679,2,1,22.261189
2,112.983359011,114.823041214,112.983359011,132.51534075,2,1,17.692299
3,94.4685423857,116.346291188,114.037903435,116.346291188,3,1,19.569361
4,95.9942039278,90.5695529982,95.9942039278,118.45520778,2,1,27.885654
5,94.471126209,92.2097640407,113.569197885,92.2097640407,3,1,19.098072
6,111.928986843,77.2087748732,111.928986843,93.6157084357,3,1,16.406933
7,104.547348132,79.0870421709,112.63195904,79.0870421709,1,1,8.0846109
8,110.991575743,78.0324977472,132.198391756,78.0324977472,4,1,21.206816
9,123.411325415,72.4021744813,123.411325415,79.5559199757,2,1,7.1537457
10,113.334931238,73.226241865,113.334931238,78.9699088471,2,1,5.7436671
11,100.798048242,79.2041754946,100.798048242,93.2643084644,2,1,14.060133
12,101.266237027,115.291746764,101.266237027,127.134614817,2,1,11.842868
13,95.4078482894,143.060268223,102.203648127,122.67321322,2,1,21.48988
14,94.7048760919,142.357296025,115.44350332,134.038418469,2,1,22.344896
15,116.029342194,122.087374347,137.587902689,142.943134899,2,1,29.995571
16,126.457136343,88.2261975032,136.650663844,67.2531313723,1,1,23.319036
17,116.029342194,67.3706092058,125.519725243,76.2751533808,1,1,13.013773
18,103.258020296,67.2531313723,114.97479777,76.1580200571,1,1,14.716655
19,94.4706094444,66.901731401,102.203648127,83.7737531608,1,1,18.559769
